epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,192.189,1.4842,1.0377,1.33646,0.95937,0.93982,0.96595,0.52624,1.65446,0.83872,1.43617,0.0005941,0.0005941,0.0005941
43,197.209,1.44214,0.98194,1.30743,0.96967,0.92833,0.96407,0.53506,1.53629,0.86955,1.36634,0.0005842,0.0005842,0.0005842
44,201.641,1.46219,1.01179,1.30229,0.95426,0.91698,0.96465,0.53358,1.53952,0.83673,1.37261,0.0005743,0.0005743,0.0005743
45,206.045,1.43475,0.99493,1.32117,0.96262,0.92637,0.97001,0.53052,1.51123,0.8193,1.35222,0.0005644,0.0005644,0.0005644
46,210.552,1.42418,1.0033,1.28143,0.94817,0.93817,0.97237,0.52665,1.51687,0.84368,1.34975,0.0005545,0.0005545,0.0005545
47,216.521,1.42751,0.95463,1.27062,0.94662,0.93986,0.95722,0.52188,1.55642,0.82663,1.37965,0.0005446,0.0005446,0.0005446
48,222.741,1.42899,1.00664,1.30038,0.96971,0.9507,0.97109,0.52913,1.48532,0.82709,1.3451,0.0005347,0.0005347,0.0005347
49,228.681,1.45674,0.95796,1.29509,0.9564,0.93409,0.95995,0.51948,1.50438,0.84777,1.34067,0.0005248,0.0005248,0.0005248
50,233.742,1.41785,0.95033,1.28086,0.95085,0.95292,0.9741,0.53233,1.55572,0.79598,1.37518,0.0005149,0.0005149,0.0005149
51,238.813,1.39399,0.96243,1.29465,0.96211,0.93589,0.9713,0.52555,1.58751,0.80438,1.39998,0.000505,0.000505,0.000505
52,243.545,1.43419,0.95353,1.31153,0.97889,0.94188,0.98033,0.538,1.48396,0.80996,1.33119,0.0004951,0.0004951,0.0004951
53,248.965,1.4145,0.94115,1.27051,0.9669,0.92883,0.9705,0.55039,1.44273,0.78055,1.30723,0.0004852,0.0004852,0.0004852
54,254,1.3885,0.96195,1.26821,0.96352,0.91371,0.96111,0.54874,1.42059,0.80429,1.29168,0.0004753,0.0004753,0.0004753
55,258.724,1.39185,0.94885,1.28722,0.96237,0.94131,0.97252,0.55488,1.50236,0.74554,1.34702,0.0004654,0.0004654,0.0004654
56,263.283,1.40563,0.93609,1.29537,0.96729,0.94684,0.97494,0.55316,1.52945,0.76095,1.36206,0.0004555,0.0004555,0.0004555
57,267.712,1.36479,0.88827,1.24851,0.94425,0.94203,0.97582,0.53674,1.53177,0.75061,1.3688,0.0004456,0.0004456,0.0004456
58,272.186,1.38754,0.91326,1.27378,0.93186,0.94203,0.97495,0.56299,1.38444,0.75524,1.28832,0.0004357,0.0004357,0.0004357
59,276.775,1.4036,0.9014,1.253,0.94464,0.94374,0.97458,0.56332,1.41675,0.75189,1.29614,0.0004258,0.0004258,0.0004258
60,281.405,1.40522,0.90487,1.273,0.96731,0.93503,0.97893,0.53833,1.5439,0.73204,1.35736,0.0004159,0.0004159,0.0004159
61,285.952,1.39108,0.88133,1.27058,0.96794,0.91304,0.98012,0.57653,1.41392,0.73024,1.29156,0.000406,0.000406,0.000406
62,290.686,1.36482,0.89471,1.26214,0.9712,0.93491,0.97692,0.57906,1.34934,0.74499,1.2542,0.0003961,0.0003961,0.0003961
63,295.233,1.38741,0.87564,1.27862,0.9496,0.94199,0.97307,0.53183,1.56894,0.71356,1.37043,0.0003862,0.0003862,0.0003862
64,299.685,1.37636,0.8722,1.26758,0.94256,0.95261,0.97887,0.55091,1.47556,0.70932,1.32803,0.0003763,0.0003763,0.0003763
65,305.015,1.36271,0.86581,1.26613,0.95714,0.92547,0.96723,0.54944,1.45735,0.73051,1.32331,0.0003664,0.0003664,0.0003664
66,310.992,1.33648,0.88038,1.25228,0.96227,0.91441,0.97005,0.5633,1.39961,0.74161,1.2825,0.0003565,0.0003565,0.0003565
67,315.909,1.34842,0.88023,1.24199,0.96266,0.92724,0.96836,0.53823,1.53809,0.73092,1.35858,0.0003466,0.0003466,0.0003466
68,320.638,1.37171,0.8823,1.30712,0.9593,0.91304,0.96945,0.57537,1.36768,0.75226,1.26787,0.0003367,0.0003367,0.0003367
69,325.639,1.3626,0.90539,1.23882,0.96723,0.9341,0.97561,0.55914,1.38608,0.78578,1.27166,0.0003268,0.0003268,0.0003268
70,330.551,1.41469,0.88396,1.3071,0.96408,0.93439,0.97441,0.54587,1.48053,0.73857,1.32246,0.0003169,0.0003169,0.0003169
71,335.699,1.33613,0.83892,1.25733,0.95587,0.94655,0.97813,0.56401,1.43611,0.74416,1.29836,0.000307,0.000307,0.000307
72,340.948,1.35996,0.84968,1.24745,0.94988,0.94663,0.97228,0.56815,1.42204,0.73419,1.29396,0.0002971,0.0002971,0.0002971
73,345.713,1.32656,0.82666,1.23761,0.94388,0.94928,0.97482,0.56427,1.4685,0.72082,1.32351,0.0002872,0.0002872,0.0002872
74,350.565,1.31905,0.85276,1.26216,0.95314,0.92968,0.97096,0.57059,1.35784,0.74036,1.25736,0.0002773,0.0002773,0.0002773
75,355.349,1.35452,0.83797,1.24475,0.94888,0.9379,0.97921,0.57606,1.43106,0.69725,1.29497,0.0002674,0.0002674,0.0002674
76,359.884,1.32569,0.85447,1.25738,0.96448,0.9482,0.98006,0.58111,1.34437,0.70428,1.2443,0.0002575,0.0002575,0.0002575
77,364.698,1.36072,0.82995,1.26838,0.95851,0.96069,0.98,0.58573,1.33763,0.70379,1.23485,0.0002476,0.0002476,0.0002476
78,369.296,1.32636,0.84692,1.25035,0.96259,0.96309,0.98499,0.54612,1.50446,0.69163,1.3306,0.0002377,0.0002377,0.0002377
79,374.493,1.33281,0.82215,1.25483,0.97447,0.93478,0.97699,0.5659,1.3702,0.69932,1.25583,0.0002278,0.0002278,0.0002278
80,379.843,1.34194,0.85793,1.25272,0.97307,0.92754,0.97638,0.56232,1.34566,0.71674,1.23979,0.0002179,0.0002179,0.0002179
81,384.657,1.2975,0.80624,1.2425,0.96298,0.93939,0.97918,0.55737,1.44261,0.67859,1.29406,0.000208,0.000208,0.000208
82,389.573,1.31308,0.8196,1.22184,0.98027,0.93297,0.97956,0.57701,1.34416,0.6905,1.24342,0.0001981,0.0001981,0.0001981
83,394.185,1.29008,0.82194,1.23634,0.98772,0.9344,0.97717,0.58141,1.32115,0.71306,1.22813,0.0001882,0.0001882,0.0001882
84,398.83,1.31666,0.81334,1.21078,0.98828,0.93915,0.98145,0.59653,1.33693,0.69462,1.23771,0.0001783,0.0001783,0.0001783
85,403.43,1.2798,0.79388,1.21588,0.97847,0.94203,0.98071,0.5961,1.29468,0.72241,1.21591,0.0001684,0.0001684,0.0001684
86,408.034,1.27219,0.81112,1.21371,0.96921,0.95528,0.98193,0.59744,1.30391,0.71704,1.2201,0.0001585,0.0001585,0.0001585
87,412.89,1.29473,0.78515,1.19494,0.96811,0.95373,0.98324,0.59664,1.32313,0.70208,1.23437,0.0001486,0.0001486,0.0001486
88,417.415,1.29508,0.79111,1.2416,0.96735,0.95418,0.98302,0.57747,1.34586,0.69124,1.24875,0.0001387,0.0001387,0.0001387
89,422.09,1.29964,0.78003,1.21529,0.98155,0.93765,0.9822,0.58078,1.34528,0.697,1.245,0.0001288,0.0001288,0.0001288
90,426.66,1.29831,0.78401,1.23125,0.97302,0.95669,0.98363,0.58042,1.33228,0.68727,1.23673,0.0001189,0.0001189,0.0001189
91,448.599,1.25263,0.74839,1.21111,0.96366,0.96112,0.981,0.5838,1.33484,0.71201,1.23448,0.000109,0.000109,0.000109
92,452.893,1.24218,0.75274,1.20046,0.9604,0.95414,0.97958,0.58044,1.32577,0.70739,1.23318,9.91e-05,9.91e-05,9.91e-05
93,457.323,1.24065,0.75916,1.21807,0.95829,0.95006,0.98057,0.58856,1.31961,0.70389,1.2306,8.92e-05,8.92e-05,8.92e-05
94,461.645,1.22155,0.7418,1.20499,0.96181,0.95335,0.98009,0.59164,1.3027,0.71077,1.2209,7.93e-05,7.93e-05,7.93e-05
95,466.148,1.19702,0.75903,1.19448,0.97539,0.95139,0.98243,0.59358,1.29342,0.71887,1.21351,6.94e-05,6.94e-05,6.94e-05
96,470.611,1.19671,0.7356,1.18582,0.97236,0.95366,0.9827,0.58595,1.29162,0.71471,1.21073,5.95e-05,5.95e-05,5.95e-05
97,475.054,1.14601,0.71827,1.15559,0.97277,0.95441,0.98352,0.59225,1.29198,0.71275,1.21111,4.96e-05,4.96e-05,4.96e-05
98,479.526,1.21051,0.74774,1.19944,0.97272,0.95468,0.98226,0.60066,1.28709,0.7149,1.20844,3.97e-05,3.97e-05,3.97e-05
99,484.212,1.19783,0.73992,1.17859,0.98095,0.95577,0.98272,0.60531,1.28541,0.71004,1.20694,2.98e-05,2.98e-05,2.98e-05
100,488.742,1.18489,0.73484,1.19671,0.97132,0.95597,0.98325,0.60267,1.29334,0.69991,1.21097,1.99e-05,1.99e-05,1.99e-05
