epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,266.407,1.53565,1.36064,1.40335,0.48683,0.44862,0.34328,0.17084,2.09576,2.07487,1.69706,0.0005941,0.0005941,0.0005941
43,272.833,1.53989,1.38117,1.43581,0.47479,0.42489,0.32673,0.16545,2.06163,2.09976,1.6507,0.0005842,0.0005842,0.0005842
44,279.119,1.4904,1.35711,1.38188,0.47883,0.41409,0.32612,0.16853,2.13582,2.13116,1.69013,0.0005743,0.0005743,0.0005743
45,285.35,1.554,1.41447,1.44516,0.48812,0.42517,0.33744,0.19169,1.98982,2.01814,1.63338,0.0005644,0.0005644,0.0005644
46,291.524,1.47476,1.36498,1.40679,0.49594,0.43553,0.35857,0.18832,2.0743,2.00787,1.63765,0.0005545,0.0005545,0.0005545
47,297.886,1.498,1.31882,1.37568,0.5187,0.4127,0.36222,0.17937,2.0899,2.03374,1.67209,0.0005446,0.0005446,0.0005446
48,303.816,1.47767,1.3243,1.38554,0.52614,0.41312,0.35593,0.19583,1.96719,2.01837,1.611,0.0005347,0.0005347,0.0005347
49,309.971,1.44269,1.28815,1.34594,0.52217,0.40997,0.35687,0.1959,1.94688,2.00989,1.64173,0.0005248,0.0005248,0.0005248
50,316.007,1.50554,1.33978,1.41341,0.49393,0.44353,0.36739,0.1941,2.00518,2.03425,1.63245,0.0005149,0.0005149,0.0005149
51,322.913,1.47027,1.30727,1.37722,0.52248,0.45073,0.36694,0.19469,2.03998,2.05426,1.64158,0.000505,0.000505,0.000505
52,329.865,1.43224,1.25803,1.35732,0.50548,0.44643,0.37122,0.17838,2.23074,2.11193,1.70798,0.0004951,0.0004951,0.0004951
53,336.863,1.46218,1.29574,1.38076,0.50666,0.42541,0.35627,0.16582,2.19966,2.04022,1.68638,0.0004852,0.0004852,0.0004852
54,343.191,1.39158,1.21584,1.34357,0.51904,0.43498,0.37019,0.18054,2.06939,1.97181,1.65934,0.0004753,0.0004753,0.0004753
55,349.746,1.42482,1.26135,1.33679,0.53919,0.43542,0.37085,0.19949,1.98169,1.98262,1.62759,0.0004654,0.0004654,0.0004654
56,356.687,1.39074,1.27321,1.36157,0.5209,0.43871,0.37672,0.21092,1.93998,1.96395,1.58504,0.0004555,0.0004555,0.0004555
